"FOLIO","VIV_SEL","HOGAR","N_REN","CONSEC","P7_16","P7_17","P7_18","P7_19","P7_20","P7_21","P7_22_1","P7_22_2","P7_23","EDIS","UPM_DIS","FACTOR","ESTRATO","TLOC"
"0000054","04","1","03","01","3","0080000","03500","36","23","0050000","99","9","00","003","0000014",383,"4","1"
"0000232","03","1","03","01","4","","","","","","","","","001","0000065",1125,"2","1"
"0000302","02","1","01","01","4","","","","","","","","","001","0000084",933,"2","1"
"0000368","01","1","01","01","1","0030000","00315","99","99","0025000","99","9","00","001","0000102",1026,"2","1"
"0000370","04","1","01","01","4","","","","","","","","","001","0000102",1026,"2","1"
"0000388","01","1","01","01","4","","","","","","","","","004","0000104",1265,"2","2"
"0000403","09","1","02","01","4","","","","","","","","","006","0000107",547,"2","2"
"0000493","07","1","01","01","4","","","","","","","","","007","0000113",718,"2","4"
"0000513","09","2","01","01","1","0020000","01200","26","16","0026000","99","9","00","007","0000114",921,"2","4"
"0000530","07","1","04","01","4","","","","","","","","","007","0000115",810,"2","4"
"0000608","03","1","02","01","4","","","","","","","","","014","0000140",1226,"4","1"
"0001214","03","1","01","01","4","","","","","","","","","022","0000286",452,"3","1"
"0001264","02","1","03","01","4","","","","","","","","","023","0000300",182,"4","1"
"0001400","15","1","01","01","4","","","","","","","","","026","0000309",284,"4","2"
"0001483","08","1","01","01","4","","","","","","","","","029","0000314",377,"3","3"
"0001621","08","1","01","01","4","","","","","","","","","030","0000322",310,"1","4"
"0001718","05","1","02","01","1","0018000","02084","24","23","0016400","99","9","00","032","0000346",554,"2","1"
"0001773","01","1","01","01","4","","","","","","","","","032","0000361",561,"2","1"
"0001812","03","1","01","01","4","","","","","","","","","034","0000370",159,"4","1"
"0001819","03","1","01","01","4","","","","","","","","","032","0000372",579,"2","1"
"0001858","02","1","01","01","4","","","","","","","","","035","0000384",250,"1","1"
"0001883","03","1","03","01","4","","","","","","","","","036","0000392",739,"2","1"
"0001913","04","1","01","01","1","0030000","01500","24","20","0027000","99","9","00","038","0000402",232,"4","1"
"0001924","01","1","01","01","4","","","","","","","","","038","0000406",248,"4","1"
"0001924","01","1","01","02","4","","","","","","","","","038","0000406",248,"4","1"
"0001945","10","1","04","01","4","","","","","","","","","039","0000411",519,"2","2"
"0001991","04","2","01","01","4","","","","","","","","","032","0000414",675,"2","3"
"0002021","16","1","01","01","2","0007000","00750","27","08","9999999","99","9","06","040","0000416",750,"1","3"
"0002039","16","1","01","01","3","0026000","01000","24","23","0025000","99","9","00","040","0000417",800,"1","3"
"0002040","17","1","02","01","2","0026000","01200","18","06","0010000","50","0","01","040","0000417",800,"1","3"
"0002047","01","1","01","01","4","","","","","","","","","041","0000421",667,"1","4"
"0002050","04","1","01","01","1","0032000","01400","24","18","0020000","99","9","00","041","0000421",667,"1","4"
"0002053","08","1","02","01","1","0030000","01500","24","12","9999999","99","9","01","041","0000421",667,"1","4"
"0002056","12","1","01","01","4","","","","","","","","","041","0000421",667,"1","4"
"0002074","13","1","01","01","4","","","","","","","","","041","0000422",719,"1","4"
"0002081","20","1","01","01","4","","","","","","","","","041","0000422",719,"1","4"
"0002112","16","1","01","01","4","","","","","","","","","041","0000424",691,"1","4"
"0002392","05","1","01","01","4","","","","","","","","","047","0000504",1498,"3","1"
"0002456","01","1","01","01","4","","","","","","","","","048","0000523",976,"4","1"
"0002487","04","1","01","01","4","","","","","","","","","046","0000530",1706,"2","1"
"0002591","09","1","01","01","4","","","","","","","","","058","0000545",1818,"2","4"
"0002675","01","1","03","01","4","","","","","","","","","059","0000562",589,"2","1"
"0002714","05","1","01","01","4","","","","","","","","","061","0000573",241,"4","1"
"0002889","03","1","02","01","4","","","","","","","","","060","0000615",428,"3","1"
"0003036","02","1","03","01","4","","","","","","","","","065","0000649",494,"2","2"
"0003053","04","1","05","01","4","","","","","","","","","065","0000650",505,"2","2"
"0003068","01","1","03","01","4","","","","","","","","","065","0000651",546,"2","2"
"0003104","05","1","01","01","4","","","","","","","","","066","0000653",557,"2","3"
"0003147","18","1","02","01","4","","","","","","","","","067","0000656",395,"2","4"
"0003155","08","1","01","01","4","","","","","","","","","067","0000657",368,"2","4"
"0003157","10","1","01","01","4","","","","","","","","","067","0000657",368,"2","4"
"0003182","17","1","03","01","4","","","","","","","","","067","0000658",379,"2","4"
"0003196","19","1","03","01","4","","","","","","","","","067","0000659",371,"1","4"
"0003196","19","1","04","01","4","","","","","","","","","067","0000659",371,"1","4"
"0003315","04","1","02","01","2","0021000","01000","24","08","0008000","14","0","00","068","0000698",4872,"2","1"
"0003416","03","3","01","01","4","","","","","","","","","077","0000721",2730,"2","2"
"0003527","20","1","02","01","4","","","","","","","","","080","0000729",2622,"1","4"
"0003681","16","1","01","01","4","","","","","","","","","080","0000738",3377,"1","4"
"0003896","05","1","01","01","4","","","","","","","","","087","0000790",2630,"3","1"
"0004207","03","1","03","01","4","","","","","","","","","093","0000855",3126,"2","4"
"0004873","02","1","02","01","4","","","","","","","","","101","0001010",441,"4","1"
"0004990","04","1","01","01","4","","","","","","","","","100","0001048",1284,"3","1"
"0005025","02","1","01","01","4","","","","","","","","","099","0001061",2432,"2","1"
"0005038","01","1","01","01","4","","","","","","","","","102","0001067",1559,"2","1"
"0005101","05","1","01","01","4","","","","","","","","","102","0001087",1479,"2","1"
"0005106","05","1","03","01","2","0015000","01200","18","04","0008000","99","9","00","104","0001088",377,"4","1"
"0005107","02","1","01","01","4","","","","","","","","","102","0001089",1341,"2","1"
"0005123","03","1","02","01","3","0028000","00558","24","12","0014000","99","9","00","105","0001094",3181,"2","2"
"0005133","11","1","01","01","4","","","","","","","","","106","0001096",1594,"2","2"
"0005171","16","1","02","01","4","","","","","","","","","106","0001098",1314,"2","3"
"0005198","16","1","01","01","4","","","","","","","","","108","0001100",1549,"2","4"
"0005212","10","1","01","01","4","","","","","","","","","107","0001101",1321,"1","4"
"0005241","10","1","01","01","4","","","","","","","","","108","0001103",1288,"2","4"
"0005249","18","1","01","01","2","0022000","01236","12","03","0005700","99","9","00","108","0001103",1288,"2","4"
"0005261","12","1","03","01","4","","","","","","","","","108","0001104",1144,"2","4"
"0005322","03","1","01","01","4","","","","","","","","","116","0001113",4251,"2","1"
"0005358","01","1","01","01","2","0020000","00834","24","10","0009000","99","9","00","115","0001124",831,"4","1"
"0005377","04","1","01","01","4","","","","","","","","","113","0001129",3515,"2","1"
"0005380","04","1","02","01","4","","","","","","","","","114","0001130",2074,"3","1"
"0005414","02","1","01","01","4","","","","","","","","","110","0001140",2309,"3","1"
"0005443","04","1","01","01","1","0020000","01548","12","02","0008000","99","9","03","109","0001150",2690,"2","1"
"0005567","02","1","02","01","4","","","","","","","","","123","0001184",3010,"3","2"
"0005581","04","1","02","01","4","","","","","","","","","122","0001185",4494,"2","2"
"0005585","08","2","02","01","2","0030000","01500","36","01","0003000","01","0","00","122","0001185",4494,"2","2"
"0005684","16","1","01","01","4","","","","","","","","","124","0001195",6103,"2","3"
"0005689","03","1","02","01","4","","","","","","","","","124","0001196",3227,"2","3"
"0005736","01","1","06","01","4","","","","","","","","","125","0001200",3967,"1","4"
"0005737","02","1","05","01","4","","","","","","","","","125","0001200",3967,"1","4"
"0005745","11","1","01","01","4","","","","","","","","","125","0001200",3967,"1","4"
"0005808","05","1","01","01","4","","","","","","","","","126","0001204",3371,"2","4"
"0005957","01","1","01","01","2","0040000","02000","18","06","0015000","99","9","00","127","0001235",1435,"1","1"
"0006140","07","1","02","01","4","","","","","","","","","135","0001273",1743,"1","2"
"0006233","19","1","01","01","4","","","","","","","","","137","0001279",2278,"1","4"
"0006628","10","1","01","01","4","","","","","","","","","147","0001344",3199,"2","3"
"0006655","09","1","01","01","4","","","","","","","","","146","0001346",1749,"2","3"
"0006669","03","1","01","01","4","","","","","","","","","142","0001350",325,"4","4"
"0006751","14","1","01","01","4","","","","","","","","","148","0001359",1576,"1","4"
"0006752","15","1","02","01","4","","","","","","","","","148","0001359",1576,"1","4"
"0006927","02","2","01","01","4","","","","","","","","","151","0001373",4115,"3","1"
"0006999","03","1","01","01","4","","","","","","","","","151","0001396",4006,"3","1"
"0007040","05","1","03","01","1","0045000","01400","39","30","0022500","99","9","01","152","0001407",2723,"4","1"
"0007057","04","1","02","01","4","","","","","","","","","151","0001411",3868,"3","1"
"0007182","03","1","02","01","4","","","","","","","","","151","0001445",4602,"3","1"
"0007182","03","1","04","01","4","","","","","","","","","151","0001445",4602,"3","1"
"0007207","03","1","03","01","4","","","","","","","","","158","0001454",4547,"2","2"
"0007214","11","1","01","01","9","","","","","","","","","158","0001454",4547,"2","2"
"0007214","11","1","02","01","4","","","","","","","","","158","0001454",4547,"2","2"
"0007220","19","1","01","01","4","","","","","","","","","158","0001454",4547,"2","2"
"0007254","06","1","01","01","4","","","","","","","","","157","0001460",3769,"3","2"
"0007283","19","1","01","01","1","0036000","02000","24","12","0015000","99","9","00","158","0001461",4315,"3","2"
"0007296","13","1","02","01","1","0011000","01000","10","03","0003000","99","9","00","157","0001462",3415,"2","2"
"0007311","12","1","02","01","4","","","","","","","","","158","0001463",4086,"2","2"
"0007314","15","1","01","01","4","","","","","","","","","158","0001463",4086,"2","2"
"0007325","07","1","04","01","4","","","","","","","","","159","0001464",5272,"2","3"
"0007514","02","1","04","01","4","","","","","","","","","162","0001493",9155,"2","1"
"0007868","04","2","01","01","2","0018000","01000","24","04","0005000","13","0","03","165","0001578",7524,"2","2"
"0008078","01","1","03","01","4","","","","","","","","","177","0001615",2532,"2","1"
"0008246","08","1","03","01","4","","","","","","","","","185","0001659",3588,"2","2"
"0008265","03","1","02","01","4","","","","","","","","","184","0001661",1915,"2","2"
"0008319","09","2","01","01","4","","","","","","","","","187","0001665",3165,"2","2"
"0008456","05","1","02","01","4","","","","","","","","","191","0001674",2445,"2","4"
"0008460","10","1","01","01","1","0018000","01300","24","18","0013000","99","9","00","191","0001674",2445,"2","4"
"0008460","10","1","02","01","1","0018000","01200","24","18","0013000","99","9","00","191","0001674",2445,"2","4"
"0008477","08","1","01","01","4","","","","","","","","","190","0001675",2388,"1","4"
"0008528","11","1","01","01","4","","","","","","","","","191","0001678",2798,"2","4"
"0008531","14","1","01","01","4","","","","","","","","","191","0001678",2798,"2","4"
"0008565","13","1","05","01","3","0020000","99999","24","07","9999999","99","9","00","191","0001680",2174,"2","4"
"0008602","01","1","01","01","4","","","","","","","","","202","0001685",561,"3","1"
"0008645","05","1","01","01","2","0007000","00450","24","12","0004000","99","9","00","194","0001695",343,"4","1"
"0008663","01","1","01","01","4","","","","","","","","","192","0001702",1339,"2","1"
"0008695","04","1","04","01","4","","","","","","","","","193","0001709",653,"3","1"
"0008745","02","2","02","01","4","","","","","","","","","194","0001723",268,"4","1"
"0008770","01","1","02","01","4","","","","","","","","","192","0001730",1644,"2","1"
"0008778","02","1","03","01","1","9999999","00370","06","02","0002000","99","9","00","194","0001732",250,"4","1"
"0008845","20","1","01","01","4","","","","","","","","","204","0001745",995,"2","2"
"0008865","03","1","04","01","4","","","","","","","","","197","0001753",548,"4","2"
"0008875","01","1","03","01","4","","","","","","","","","195","0001756",1636,"2","2"
"0008878","05","1","04","01","4","","","","","","","","","195","0001756",1636,"2","2"
"0008878","05","1","05","01","4","","","","","","","","","195","0001756",1636,"2","2"
"0008895","01","1","02","01","4","","","","","","","","","204","0001761",1224,"2","2"
"0008898","06","1","01","01","4","","","","","","","","","204","0001761",1224,"2","2"
"0008903","12","1","01","01","1","9999999","00320","12","01","9999999","99","9","00","204","0001761",1224,"2","2"
"0008905","14","1","01","01","4","","","","","","","","","204","0001761",1224,"2","2"
"0008920","09","2","01","01","3","0024000","00850","30","18","0008000","99","9","00","204","0001762",779,"2","2"
"0008926","15","1","02","01","4","","","","","","","","","204","0001762",779,"2","2"
"0009018","04","2","01","01","1","0043000","01400","24","06","0010000","99","9","00","205","0001774",1357,"2","3"
"0009019","05","1","02","01","4","","","","","","","","","205","0001774",1357,"2","3"
"0009056","15","1","01","01","4","","","","","","","","","206","0001777",1258,"1","3"
"0009097","08","1","03","01","4","","","","","","","","","208","0001783",1334,"2","4"
"0009148","03","1","02","01","2","0022000","01600","18","16","0020000","04","8","00","208","0001786",1213,"2","4"
"0009156","15","1","02","01","4","","","","","","","","","208","0001786",1213,"2","4"
"0009327","01","1","02","01","4","","","","","","","","","209","0001826",928,"2","1"
"0009378","03","1","01","01","4","","","","","","","","","211","0001838",141,"4","1"
"0009525","12","1","01","01","4","","","","","","","","","214","0001863",851,"2","2"
"0009590","01","1","01","01","4","","","","","","","","","215","0001867",806,"2","3"
"0009613","13","1","01","01","1","0021000","07000","03","01","0007000","99","9","00","216","0001868",882,"2","3"
"0009663","08","2","02","01","4","","","","","","","","","218","0001871",813,"2","4"
"0009681","07","1","01","01","4","","","","","","","","","218","0001872",742,"2","4"
"0009747","21","1","02","01","4","","","","","","","","","218","0001875",758,"2","4"
"0009968","04","1","02","01","1","0038000","02760","36","28","0025000","10","9","01","220","0001927",2858,"3","1"
"0010159","04","1","01","01","2","0050000","01800","48","48","0050000","14","0","00","221","0001982",2482,"4","1"
"0010282","20","1","03","01","4","","","","","","","","","224","0002000",3969,"3","2"
"0010467","14","1","02","01","4","","","","","","","","","235","0002041",4991,"2","2"
"0010478","01","1","02","01","1","0150000","02850","24","11","0050000","11","5","00","233","0002043",71,"4","3"
"0010518","16","1","05","01","1","0020000","01646","12","10","0018000","99","9","00","236","0002050",2323,"2","3"
"0010549","05","1","01","01","3","0015000","01000","15","04","0004000","99","9","00","233","0002057",65,"4","3"
"0010605","12","1","01","01","4","","","","","","","","","236","0002065",2826,"1","3"
"0010622","11","1","01","01","4","","","","","","","","","237","0002066",2425,"2","3"
"0011084","02","1","01","01","4","","","","","","","","","240","0002134",2809,"2","1"
"0011160","10","1","03","01","4","","","","","","","","","249","0002150",3246,"2","2"
"0011304","04","1","03","01","2","0030000","00800","99","99","0014000","99","9","00","246","0002168",3750,"2","3"
"0011447","13","1","04","01","1","0053000","01600","18","06","0008000","03","5","00","252","0002180",6705,"1","4"
"0011455","03","1","02","01","4","","","","","","","","","253","0002181",3097,"2","4"
"0011470","01","1","01","01","4","","","","","","","","","252","0002182",4173,"1","4"
"0011573","02","1","01","01","4","","","","","","","","","254","0002203",1275,"2","1"
"0011854","03","1","01","01","4","","","","","","","","","263","0002274",1305,"2","3"
"0011907","05","1","05","01","3","0047000","01500","24","12","0013000","99","9","02","259","0002277",1232,"2","3"
"0012022","05","1","01","01","2","0036000","01200","18","06","0010000","99","9","02","265","0002286",2484,"1","4"
"0012085","05","1","01","01","1","0022000","01400","24","12","0009000","99","9","00","271","0002292",1434,"2","1"
"0012105","01","2","01","01","4","","","","","","","","","271","0002300",1632,"2","1"
"0012119","04","1","01","01","1","0014000","00230","18","14","0011000","99","9","00","271","0002303",1466,"2","1"
"0012119","04","1","02","01","1","0014000","00250","38","26","0012000","99","9","00","271","0002303",1466,"2","1"
"0012194","03","1","01","01","1","0031000","01200","24","08","0009000","25","0","03","269","0002329",932,"3","1"
"0012277","03","1","02","01","1","0030000","02000","24","18","0020000","99","9","00","270","0002359",1168,"4","1"
"0012326","04","1","03","01","2","0016000","00800","12","08","0013000","99","9","00","268","0002373",1582,"2","1"
"0012336","04","1","01","01","4","","","","","","","","","268","0002376",1418,"2","1"
"0012384","05","1","01","01","1","0050000","01200","12","12","0010000","00","5","00","275","0002395",1473,"2","1"
"0012399","13","1","02","01","4","","","","","","","","","277","0002397",1098,"2","2"
"0012401","15","1","01","01","4","","","","","","","","","277","0002397",1098,"2","2"
"0012405","20","1","01","01","1","0015000","01500","12","09","0011500","99","9","00","277","0002397",1098,"2","2"
"0012647","01","1","01","01","4","","","","","","","","","282","0002437",1144,"3","1"
"0012690","05","1","02","01","4","","","","","","","","","281","0002449",2128,"2","1"
"0012708","04","1","01","01","4","","","","","","","","","282","0002454",1358,"3","1"
"0012807","05","1","01","01","4","","","","","","","","","282","0002479",1760,"3","1"
"0012807","05","1","01","02","4","","","","","","","","","282","0002479",1760,"3","1"
"0012851","02","1","03","01","4","","","","","","","","","281","0002491",2358,"2","1"
"0012862","02","1","01","01","4","","","","","","","","","286","0002494",1676,"2","2"
"0012874","17","1","01","01","4","","","","","","","","","286","0002494",1676,"2","2"
"0012888","14","1","02","01","2","0021000","00850","24","11","0010000","99","9","00","286","0002495",1779,"2","2"
"0012888","14","1","03","01","1","0040000","01806","18","04","0007000","99","9","00","286","0002495",1779,"2","2"
"0012911","08","1","01","01","4","","","","","","","","","287","0002497",2816,"2","3"
"0012933","12","1","02","01","4","","","","","","","","","287","0002499",2924,"2","3"
"0012992","03","1","01","01","4","","","","","","","","","288","0002503",1237,"1","4"
"0012995","07","1","01","01","2","0014600","01230","12","12","0011200","00","6","00","288","0002503",1237,"1","4"
"0013001","13","1","05","01","2","0016000","00720","24","14","0008000","99","9","00","288","0002503",1237,"1","4"
"0013111","02","1","03","01","4","","","","","","","","","296","0002510",1767,"2","1"
"0013136","03","1","03","01","4","","","","","","","","","297","0002517",1487,"3","1"
"0013150","05","1","03","01","4","","","","","","","","","297","0002520",1301,"3","1"
"0013256","04","1","01","01","1","0025000","00500","36","12","0015000","99","9","00","291","0002553",1945,"3","1"
"0013324","03","1","03","01","2","0016000","00800","18","16","0014400","08","0","00","293","0002577",2159,"2","1"
"0013325","04","1","01","01","4","","","","","","","","","293","0002577",2159,"2","1"
"0013335","01","2","02","01","4","","","","","","","","","293","0002581",2385,"2","1"
"0013348","04","1","01","01","4","","","","","","","","","293","0002584",1974,"2","1"
"0013423","19","1","06","01","4","","","","","","","","","299","0002601",2538,"2","2"
"0013433","11","1","02","01","4","","","","","","","","","299","0002602",1860,"3","2"
"0013487","17","1","02","01","4","","","","","","","","","300","0002605",2410,"2","3"
"0013511","06","1","01","01","4","","","","","","","","","302","0002607",1713,"2","4"
"0013516","12","1","02","01","4","","","","","","","","","302","0002607",1713,"2","4"
"0013543","04","2","02","01","2","0019000","00600","30","24","0010000","99","9","00","302","0002609",1731,"2","4"
"0013562","08","1","01","01","4","","","","","","","","","301","0002610",1996,"1","4"
"0013570","17","1","02","01","4","","","","","","","","","301","0002610",1996,"1","4"
"0013583","09","1","03","01","4","","","","","","","","","302","0002611",1564,"2","4"
"0013656","01","1","01","01","4","","","","","","","","","306","0002625",2336,"2","1"
"0013941","05","1","02","01","1","0020000","01000","18","04","0012000","99","9","02","310","0002696",1659,"3","1"
"0014130","18","1","01","01","4","","","","","","","","","322","0002719",1698,"1","4"
"0014256","02","1","03","01","4","","","","","","","","","324","0002745",1374,"2","1"
"0014263","01","1","01","01","1","0023000","00920","24","23","0022000","99","9","00","325","0002747",569,"3","1"
"0014399","14","1","01","01","4","","","","","","","","","329","0002779",1640,"2","2"
"0014434","01","1","04","01","4","","","","","","","","","329","0002782",1335,"2","2"
"0014465","02","1","02","01","4","","","","","","","","","330","0002785",1577,"1","3"
"0014470","09","1","03","01","4","","","","","","","","","330","0002785",1577,"1","3"
"0014511","18","1","01","01","4","","","","","","","","","330","0002787",1549,"2","3"
"0014531","03","1","02","01","4","","","","","","","","","327","0002789",1762,"2","3"
"0014568","20","1","01","01","4","","","","","","","","","332","0002791",1413,"1","4"
"0014612","06","1","01","01","4","","","","","","","","","333","0002794",1551,"2","4"
"0014629","03","1","01","01","4","","","","","","","","","333","0002795",1325,"2","4"
"0014653","10","1","01","01","4","","","","","","","","","332","0002796",1376,"1","4"
"0014692","15","1","01","01","3","0009000","00310","24","12","0004000","99","9","00","332","0002798",1635,"1","4"
"0014807","04","1","01","01","4","","","","","","","","","336","0002822",901,"4","1"
"0015063","03","1","05","01","4","","","","","","","","","348","0002901",1782,"3","1"
"0015092","02","1","02","01","2","0028000","01700","24","15","0025300","06","0","00","349","0002909",1299,"4","1"
"0015208","17","1","03","01","4","","","","","","","","","351","0002918",1758,"2","4"
"0015657","02","1","01","01","1","0013000","15000","03","02","0010000","99","9","00","355","0003018",991,"2","3"
"0015663","05","1","03","01","4","","","","","","","","","358","0003019",945,"2","4"
"0015699","19","1","03","01","4","","","","","","","","","362","0003023",910,"2","4"
"0015708","09","1","01","01","4","","","","","","","","","362","0003024",769,"2","4"
"0015763","03","1","01","01","4","","","","","","","","","363","0003032",6810,"2","1"
"0015768","05","1","02","01","4","","","","","","","","","363","0003033",6137,"2","1"
"0015791","03","1","02","01","4","","","","","","","","","379","0003043",3171,"4","1"
"0016012","16","1","02","01","2","0043000","02400","06","05","0017000","99","9","00","384","0003098",6099,"2","3"
"0016057","03","1","01","01","4","","","","","","","","","383","0003103",7112,"2","3"
"0016072","01","1","01","01","4","","","","","","","","","366","0003104",659,"4","3"
"0016136","05","1","04","01","4","","","","","","","","","385","0003111",5518,"1","4"
"0016199","01","1","02","01","4","","","","","","","","","385","0003115",4717,"1","4"
"0016252","02","1","01","01","4","","","","","","","","","385","0003118",5419,"1","4"
"0016252","02","1","01","02","4","","","","","","","","","385","0003118",5419,"1","4"
"0016412","03","1","05","01","4","","","","","","","","","388","0003159",1642,"2","1"
"0016472","03","1","03","01","1","0013000","01300","10","03","0003600","01","7","00","390","0003177",691,"4","1"
"0016569","01","1","04","01","4","","","","","","","","","391","0003203",896,"2","2"
"0016570","02","1","01","01","4","","","","","","","","","391","0003203",896,"2","2"
"0016571","03","1","01","01","2","0016000","00780","36","06","0006000","99","9","00","391","0003203",896,"2","2"
"0016601","02","1","04","01","4","","","","","","","","","391","0003207",1497,"2","2"
"0016610","01","1","01","01","4","","","","","","","","","391","0003209",1582,"2","2"
"0016613","04","1","02","01","1","0022000","01440","28","06","0006500","99","9","05","391","0003209",1582,"2","2"
"0016640","13","1","07","01","4","","","","","","","","","393","0003211",1660,"1","2"
"0016671","11","1","02","01","4","","","","","","","","","394","0003215",1120,"1","3"
"0016696","19","1","01","01","2","0027000","00880","24","06","0005200","99","9","00","395","0003216",1602,"1","3"
"0016728","12","2","01","01","4","","","","","","","","","394","0003219",1076,"1","3"
"0016738","05","1","01","01","3","0029000","01300","30","16","0018000","99","9","00","395","0003220",1812,"2","3"
"0016738","05","1","02","01","3","0028000","01400","24","18","0025000","03","0","00","395","0003220",1812,"2","3"
"0016742","09","1","02","01","4","","","","","","","","","395","0003220",1812,"2","3"
"0016742","09","1","03","01","4","","","","","","","","","395","0003220",1812,"2","3"
"0016759","12","1","02","01","4","","","","","","","","","396","0003221",1458,"2","4"
"0016783","20","1","02","01","4","","","","","","","","","396","0003222",1494,"1","4"
"0016837","01","1","01","01","4","","","","","","","","","400","0003230",1225,"2","1"
"0016842","03","1","01","01","4","","","","","","","","","400","0003231",1390,"2","1"
"0016849","05","1","02","01","4","","","","","","","","","401","0003233",509,"3","1"
"0016877","02","1","03","01","1","0030000","01000","24","99","0010000","99","9","00","399","0003241",156,"4","1"
"0016898","01","1","03","01","4","","","","","","","","","397","0003249",1028,"2","1"
"0016951","02","1","01","01","3","0030000","02500","18","16","0025000","10","0","00","399","0003261",184,"4","1"
"0017051","11","1","01","01","1","0021000","01300","18","11","0019000","99","9","00","402","0003288",1311,"2","2"
"0017078","09","1","01","01","4","","","","","","","","","403","0003290",789,"3","2"
"0017086","18","1","01","01","4","","","","","","","","","403","0003290",789,"3","2"
"0017187","16","1","01","01","1","0060000","02800","36","28","0045000","99","9","00","404","0003296",892,"2","3"
"0017258","14","1","03","01","4","","","","","","","","","407","0003300",879,"2","4"
"0017267","05","1","03","01","1","0023000","01400","16","12","0014000","99","9","00","406","0003301",701,"1","4"
"0017270","08","1","03","01","2","0019000","01400","19","09","0008000","99","9","00","406","0003301",701,"1","4"
"0017271","09","1","02","01","4","","","","","","","","","406","0003301",701,"1","4"
"0017274","14","1","01","01","4","","","","","","","","","406","0003301",701,"1","4"
"0017296","15","1","01","01","4","","","","","","","","","407","0003302",1087,"2","4"
"0017308","08","1","03","01","4","","","","","","","","","407","0003303",978,"2","4"
"0017345","12","1","01","01","3","0028000","01450","18","04","0007000","99","9","00","406","0003305",1293,"1","4"
"0017368","17","1","03","01","4","","","","","","","","","407","0003306",821,"2","4"
"0017371","20","1","05","01","4","","","","","","","","","407","0003306",821,"2","4"
